,Name,Status,Population,Address,location,point,latitude,longitude,altitude
135,Diamond Vale,Urban Community,5388,"Diamond Vale, Trinidad and Tobago","Diamond, Debe, Penal-Debe, -, Trinidad and Tobago","(10.2218061, -61.4409361, 0.0)",10.2218061,-61.4409361,0.0
136,Dibe/Belle Vue,Urban Community,3288,"Dibe/Belle Vue, Trinidad and Tobago",,,,,
137,Diego Martin Proper,Urban Community,5967,"Diego Martin Proper, Trinidad and Tobago",,,,,
138,Fairways,Urban Community,994,"Fairways, Trinidad and Tobago","Fairways Close, Ellerslie Park, Federation Park, Maraval, 190130, Trinidad and Tobago","(10.6949282, -61.5205782, 0.0)",10.6949282,-61.5205782,0.0
139,Fort George,Urban Community,294,"Fort George, Trinidad and Tobago","Fort George, Scarborough, Tobago, Trinidad and Tobago","(11.1791156, -60.7265748, 0.0)",11.1791156,-60.7265748,0.0
140,Four Roads,Urban Community,2293,"Four Roads, Trinidad and Tobago","Four Roads, Coral Gardens, Bon-Accord, Tobago, Trinidad and Tobago","(11.1561833, -60.8220323, 0.0)",11.1561833,-60.8220323,0.0
141,Glencoe,Urban Community,718,"Glencoe, Trinidad and Tobago","Glencoe, Port of Spain, Trinidad and Tobago","(10.6811061, -61.5714852, 0.0)",10.6811061,-61.5714852,0.0
142,Goodwood Gardens,Urban Community,1238,"Goodwood Gardens, Trinidad and Tobago","Goodwood Gardens, Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.6876011, -61.5591055, 0.0)",10.6876011,-61.5591055,0.0
143,Green Hill Village,Urban Community,1759,"Green Hill Village, Trinidad and Tobago","Green Hill, Valley View, Acono, 310407, Trinidad and Tobago","(10.6960223, -61.3985219, 0.0)",10.6960223,-61.3985219,0.0
144,Haleland Park/Moka,Urban Community,1227,"Haleland Park/Moka, Trinidad and Tobago",,,,,
145,Industrial Estate,Urban Community,1097,"Industrial Estate, Trinidad and Tobago",,,,,
146,La Horquette,Urban Community,725,"La Horquette, Trinidad and Tobago","La Horquette Branch Road, Federation Park, Glencoe, Trinidad and Tobago","(10.6829338, -61.5735452, 0.0)",10.6829338,-61.5735452,0.0
147,L'Anse Mitan,Urban Community,1812,"L'Anse Mitan, Trinidad and Tobago","L'Anse Mitan, Point Cumana, Trinidad and Tobago","(10.6822747, -61.5782805, 0.0)",10.6822747,-61.5782805,0.0
148,La Puerta,Urban Community,3891,"La Puerta, Trinidad and Tobago","La Puerta Avenue, Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.692599, -61.5567253, 0.0)",10.692599,-61.5567253,0.0
149,La Seiva,Urban Community,1577,"La Seiva, Trinidad and Tobago","La Seiva, Saint Joseph, 310407, Trinidad and Tobago","(10.6770685, -61.4108155, 0.0)",10.6770685,-61.4108155,0.0
150,Le Platte,Urban Community,1672,"Le Platte, Trinidad and Tobago",,,,,
151,Maraval Proper,Urban Community,4646,"Maraval Proper, Trinidad and Tobago",,,,,
152,North Post,Urban Community,425,"North Post, Trinidad and Tobago","North, La Baja, Barataria, Champ Fleurs, 12333, Trinidad and Tobago","(10.65202, -61.4245927, 0.0)",10.65202,-61.4245927,0.0
153,Off-Shore Islands,Islands,50,"Off-Shore Islands, Trinidad and Tobago",,,,,
154,Paramin,Rural Community,2524,"Paramin, Trinidad and Tobago","Paramin Hill, Port of Spain, 17005, Trinidad and Tobago","(10.7394957, -61.5221825, 0.0)",10.7394957,-61.5221825,0.0
155,Patna Village,Urban Community,501,"Patna Village, Trinidad and Tobago","Patna Recreation Ground, Diego Martin, Trinidad and Tobago","(10.74165635, -61.55762278683943, 0.0)",10.74165635,-61.55762278683943,0.0
156,Petit Valley,Urban Community,9405,"Petit Valley, Trinidad and Tobago","Petit Valley, Petit Valley Maxi-Taxi Waiting Lane, Downtown, Port of Spain, 150123, Trinidad and Tobago","(10.6479401, -61.5114831, 0.0)",10.6479401,-61.5114831,0.0
157,Point Cumana,Urban Community,1822,"Point Cumana, Trinidad and Tobago","Point Cumana, Port of Spain, Trinidad and Tobago","(10.6831978, -61.5796234, 0.0)",10.6831978,-61.5796234,0.0
158,Powder Magazine,Urban Community,1423,"Powder Magazine, Trinidad and Tobago","Powder Magazine, Federation Park, Cocorite, 190130, Trinidad and Tobago","(10.6808676, -61.55122, 0.0)",10.6808676,-61.55122,0.0
159,Rich Plain,Urban Community,2874,"Rich Plain, Trinidad and Tobago",,,,,
160,River Estate,Urban Community,1392,"River Estate, Trinidad and Tobago","River Estate Circular, Diego Martin, 17005, Trinidad and Tobago","(10.7406209, -61.5548232, 0.0)",10.7406209,-61.5548232,0.0
161,Saut Deau,Urban Community,463,"Saut Deau, Trinidad and Tobago","Saut D'Eau Road, Saint Ann's, Port of Spain, 190130, Trinidad and Tobago","(10.7183249, -61.5137804, 0.0)",10.7183249,-61.5137804,0.0
162,Simeon Road,Urban Community,2649,"Simeon Road, Trinidad and Tobago","Simeon Road, Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.6986826, -61.5471349, 0.0)",10.6986826,-61.5471349,0.0
163,St. Lucien Road,Urban Community,2303,"St. Lucien Road, Trinidad and Tobago","St. Lucien Road, Federation Park, Port of Spain, 17005, Trinidad and Tobago","(10.7073286, -61.5538879, 0.0)",10.7073286,-61.5538879,0.0
164,Upper St. James,Urban Community,3627,"Upper St. James, Trinidad and Tobago","St James, Fyzabad, Siparia, Trinidad and Tobago","(10.1946419, -61.5396018, 0.0)",10.1946419,-61.5396018,0.0
165,Victoria Gardens,Urban Community,1134,"Victoria Gardens, Trinidad and Tobago","Trinidad y Tobago, Antonio Castillo, Durango, Municipio de Durango, Durango, 34237, México","(24.0158505, -104.5908744, 0.0)",24.0158505,-104.5908744,0.0
166,Water Hole,Urban Community,3344,"Water Hole, Trinidad and Tobago","Stand pipe, Cocoa Road, Morvant, Port of Spain, N/A, Trinidad and Tobago","(10.6727954, -61.4782997, 0.0)",10.6727954,-61.4782997,0.0
167,West Moorings,Urban Community,3519,"West Moorings, Trinidad and Tobago","The Moorings, Westmoorings by the Sea, Port of Spain, Trinidad and Tobago","(10.67468775, -61.561495227958574, 0.0)",10.67468775,-61.561495227958574,0.0
168,Mayaro/Rio Claro,Region,35650,"Mayaro/Rio Claro, Trinidad and Tobago","Mayaro, Rio Claro-Mayaro, Trinidad and Tobago","(10.3027609, -61.0081263, 0.0)",10.3027609,-61.0081263,0.0
169,Abysinia Village (Oilfield Area),Rural Community,41,"Abysinia Village (Oilfield Area), Trinidad and Tobago",,,,,
170,Agostini Village,Semi-Urban Community,449,"Agostini Village, Trinidad and Tobago","Agostini Village Recreation Ground, Rio Claro, Rio Claro-Mayaro, Trinidad and Tobago","(10.31422585, -61.12891650639005, 0.0)",10.31422585,-61.12891650639005,0.0
171,Biche [↑ partly also in Sangre Grande],Semi-Urban Community,2770,"Biche [↑ partly also in Sangre Grande], Trinidad and Tobago",,,,,
172,Canque,Rural Community,334,"Canque, Trinidad and Tobago",,,,,
173,Charuma Village,Rural Community,306,"Charuma Village, Trinidad and Tobago","Charuma, Rio Claro-Mayaro, Trinidad and Tobago","(10.4057552, -61.1515993, 0.0)",10.4057552,-61.1515993,0.0
174,Cocal Estate/Mayaro,Rural Community,551,"Cocal Estate/Mayaro, Trinidad and Tobago",,,,,
175,Cushe/Navet,Rural Community,1573,"Cushe/Navet, Trinidad and Tobago",,,,,
176,Deep Ravine/Clear Water,Semi-Urban Community,529,"Deep Ravine/Clear Water, Trinidad and Tobago",,,,,
177,Ecclesville,Rural Community,2063,"Ecclesville, Trinidad and Tobago","Ecclesville Settlement #1, Rio Claro, Rio Claro-Mayaro, Trinidad and Tobago","(10.3222048, -61.1490955, 0.0)",10.3222048,-61.1490955,0.0
178,Fonrose Village,Semi-Urban Community,914,"Fonrose Village, Trinidad and Tobago","Fonrose Street, San Fernando, 1898, Trinidad and Tobago","(10.2762345, -61.4547528, 0.0)",10.2762345,-61.4547528,0.0
179,Grand Lagoon,Rural Community,1242,"Grand Lagoon, Trinidad and Tobago","Lagoon Drive, La Brea, Siparia, Trinidad and Tobago","(10.2434173, -61.6127392, 0.0)",10.2434173,-61.6127392,0.0
180,Guayaguayare,Semi-Urban Community,1541,"Guayaguayare, Trinidad and Tobago","Guayaguayare, Rio Claro-Mayaro, Trinidad and Tobago","(10.1468175, -61.0355387, 0.0)",10.1468175,-61.0355387,0.0
181,La Savanne,Semi-Urban Community,1109,"La Savanne, Trinidad and Tobago","La Savanne Circular Street, Guayaguayare, Rio Claro-Mayaro, Trinidad and Tobago","(10.1663573, -61.0020465, 0.0)",10.1663573,-61.0020465,0.0
182,Libertville,Urban Community,2997,"Libertville, Trinidad and Tobago","Libertville, Rio Claro-Mayaro, Trinidad and Tobago","(10.3039026, -61.1957142, 0.0)",10.3039026,-61.1957142,0.0
183,Mafeking,Semi-Urban Community,1805,"Mafeking, Trinidad and Tobago","Mafeking Village Recreation Ground, Mayaro, Rio Claro-Mayaro, Trinidad and Tobago","(10.3037899, -61.0200168, 0.0)",10.3037899,-61.0200168,0.0
184,Mainfield,Rural Community,1,"Mainfield, Trinidad and Tobago","Mainfield Road, Point Fortin, 700147, Trinidad and Tobago","(10.1720767, -61.6817324, 0.0)",10.1720767,-61.6817324,0.0
185,Mayaro,Semi-Urban Community,2791,"Mayaro, Trinidad and Tobago","Mayaro, Rio Claro-Mayaro, Trinidad and Tobago","(10.3027609, -61.0081263, 0.0)",10.3027609,-61.0081263,0.0
186,Mora Settlement,Semi-Urban Community,338,"Mora Settlement, Trinidad and Tobago",,,,,
187,Navet Village,Rural Community,2035,"Navet Village, Trinidad and Tobago","Navet Road, San Fernando, 1898, Trinidad and Tobago","(10.2766267, -61.4529649, 0.0)",10.2766267,-61.4529649,0.0
188,Ortoire,Rural Community,764,"Ortoire, Trinidad and Tobago","Ortoire River, Rio Claro-Mayaro, Trinidad and Tobago","(10.2893767, -61.0429171, 0.0)",10.2893767,-61.0429171,0.0
189,Plaisance,Rural Community,935,"Plaisance, Trinidad and Tobago","Plaisance HDC, Mayaro, Rio Claro-Mayaro, Trinidad and Tobago","(10.293739299999999, -61.00114641127884, 0.0)",10.293739299999999,-61.00114641127884,0.0
190,Poole,Rural Community,1542,"Poole, Trinidad and Tobago","Poole, Rio Claro-Mayaro, Trinidad and Tobago","(10.3013848, -61.2291371, 0.0)",10.3013848,-61.2291371,0.0
191,Radix,Semi-Urban Community,1752,"Radix, Trinidad and Tobago","Point Radix, Mayaro, Rio Claro-Mayaro, Trinidad and Tobago","(10.3342354, -60.9756255, 0.0)",10.3342354,-60.9756255,0.0
192,Rio Claro,Urban Community,3821,"Rio Claro, Trinidad and Tobago","Rio Claro, Rio Claro-Mayaro, Trinidad and Tobago","(10.3063646, -61.1750475, 0.0)",10.3063646,-61.1750475,0.0
193,St. Joseph Village,Rural Community,445,"St. Joseph Village, Trinidad and Tobago","Saint Joseph Village, San Fernando, VISTABELLA, Trinidad and Tobago","(10.287982, -61.4491726, 0.0)",10.287982,-61.4491726,0.0
194,Union Village,Rural Community,1977,"Union Village, Trinidad and Tobago","Union Village, La Brea, Siparia, Trinidad and Tobago","(10.2116164, -61.6329979, 0.0)",10.2116164,-61.6329979,0.0
195,Penal/Debe,Region,89392,"Penal/Debe, Trinidad and Tobago","Penal-Debe, Trinidad and Tobago","(10.1649187, -61.428632498402294, 0.0)",10.1649187,-61.428632498402294,0.0
196,Barrackpore [↑ partly also in Princes Town],Urban Community,14928,"Barrackpore [↑ partly also in Princes Town], Trinidad and Tobago",,,,,
197,Batchyia Village,Urban Community,2198,"Batchyia Village, Trinidad and Tobago","Batchyia Trace, Penal, Penal-Debe, Trinidad and Tobago","(10.1735423, -61.4585137, 0.0)",10.1735423,-61.4585137,0.0
198,Canaan Village/Palmiste,Urban Community,1027,"Canaan Village/Palmiste, Trinidad and Tobago",,,,,
199,Charlo Village,Urban Community,2363,"Charlo Village, Trinidad and Tobago",,,,,
200,Debe Proper,Urban Community,7084,"Debe Proper, Trinidad and Tobago",,,,,
201,Diamond,Urban Community,1655,"Diamond, Trinidad and Tobago","Diamond, Debe, Penal-Debe, -, Trinidad and Tobago","(10.2218061, -61.4409361, 0.0)",10.2218061,-61.4409361,0.0
202,Duncan Village,Urban Community,5333,"Duncan Village, Trinidad and Tobago","Duncan Village, Penal-Debe, 600301, Trinidad and Tobago","(10.2556494, -61.4616759, 0.0)",10.2556494,-61.4616759,0.0
203,Esperance Village,Urban Community,1264,"Esperance Village, Trinidad and Tobago","Esperance, Debe, Penal-Debe, 1898, Trinidad and Tobago","(10.2447223, -61.4505286, 0.0)",10.2447223,-61.4505286,0.0
204,Friendship [↑ partly also in Princes Town],Urban Community,2348,"Friendship [↑ partly also in Princes Town], Trinidad and Tobago",,,,,
205,Golconda [↑ partly also in Princes Town],Urban Community,1914,"Golconda [↑ partly also in Princes Town], Trinidad and Tobago",,,,,
206,Hermitage Village,Urban Community,2979,"Hermitage Village, Trinidad and Tobago","Hermitage, Charlotteville, Tobago, Trinidad and Tobago","(11.3186614, -60.5761199, 0.0)",11.3186614,-60.5761199,0.0
207,La Fortune,Urban Community,1284,"La Fortune, Trinidad and Tobago","La Fortune, Morvant, Port of Spain, 120110, Trinidad and Tobago","(10.6711223, -61.4646677, 0.0)",10.6711223,-61.4646677,0.0
208,La Romain,Urban Community,10129,"La Romain, Trinidad and Tobago","La Romain, Penal-Debe, -, Trinidad and Tobago","(10.2431793, -61.4927773, 0.0)",10.2431793,-61.4927773,0.0
209,Lengua Village,Urban Community,576,"Lengua Village, Trinidad and Tobago","Lengua Village, Penal-Debe, Trinidad and Tobago","(10.2285212, -61.3804147, 0.0)",10.2285212,-61.3804147,0.0
210,Mendez Village,Rural Community,1451,"Mendez Village, Trinidad and Tobago","Mendez Drive, La Baja, Barataria, Champ Fleurs, 310407, Trinidad and Tobago","(10.6571074, -61.4251855, 0.0)",10.6571074,-61.4251855,0.0
211,Monkey Town,Semi-Urban Community,1316,"Monkey Town, Trinidad and Tobago","Monkey Town, Penal-Debe, Trinidad and Tobago","(10.2086287, -61.4205249, 0.0)",10.2086287,-61.4205249,0.0
212,Morne Diablo,Rural Community,2536,"Morne Diablo, Trinidad and Tobago","Morne Diablo Road, Penal, Penal-Debe, Trinidad and Tobago","(10.1263449, -61.4457928, 0.0)",10.1263449,-61.4457928,0.0
213,Palmiste,Urban Community,2713,"Palmiste, Trinidad and Tobago","Palmiste Recreation Ground, Ravine Sable, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.48997345, -61.35963171395136, 0.0)",10.48997345,-61.35963171395136,0.0
214,Penal,Urban Community,13873,"Penal, Trinidad and Tobago","Penal, Penal-Debe, Trinidad and Tobago","(10.1684634, -61.4526506, 0.0)",10.1684634,-61.4526506,0.0
215,Penal Quinam Beach Road,Rural Community,0,"Penal Quinam Beach Road, Trinidad and Tobago","Penal Quinam Road, Penal, Penal-Debe, Trinidad and Tobago","(10.1608326, -61.4684274, 0.0)",10.1608326,-61.4684274,0.0
216,Penal Rock Road,Rural Community,4092,"Penal Rock Road, Trinidad and Tobago","Penal Rock Road, Penal, Penal-Debe, Trinidad and Tobago","(10.1685079, -61.4559583, 0.0)",10.1685079,-61.4559583,0.0
217,Phillipines,Urban Community,1239,"Phillipines, Trinidad and Tobago","Phillipines, Debe, Penal-Debe, -, Trinidad and Tobago","(10.2447856, -61.4561398, 0.0)",10.2447856,-61.4561398,0.0
218,Picton,Urban Community,2139,"Picton, Trinidad and Tobago","Picton, Arouca, Tunapuna, 686, Trinidad and Tobago","(10.6440764, -61.3854721, 0.0)",10.6440764,-61.3854721,0.0
219,Rambert Village,Urban Community,1409,"Rambert Village, Trinidad and Tobago","Rambert Village, Penal-Debe, -, Trinidad and Tobago","(10.2482656, -61.4813057, 0.0)",10.2482656,-61.4813057,0.0
220,Rochard Road,Urban Community,4104,"Rochard Road, Trinidad and Tobago","Rochard Road, Penal, Penal-Debe, Trinidad and Tobago","(10.1405136, -61.4177888, 0.0)",10.1405136,-61.4177888,0.0
221,Scott Road Village,Rural Community,908,"Scott Road Village, Trinidad and Tobago",,,,,
222,St. John's Village [↑ partly also in Princes Town],Urban Community,1651,"St. John's Village [↑ partly also in Princes Town], Trinidad and Tobago",,,,,
223,Tulsa Village [↑ partly also in Siparia],Urban Community,1147,"Tulsa Village [↑ partly also in Siparia], Trinidad and Tobago",,,,,
224,Wellington,Urban Community,1672,"Wellington, Trinidad and Tobago","Wellington, Debe, Penal-Debe, -, Trinidad and Tobago","(10.21631, -61.4499171, 0.0)",10.21631,-61.4499171,0.0
225,Point Fortin,Borough,20235,"Point Fortin, Trinidad and Tobago","Point Fortin, Trinidad and Tobago","(10.1737672, -61.672388881539796, 0.0)",10.1737672,-61.672388881539796,0.0
226,Cap-de-Ville [↑ partly also in Siparia],Semi-Urban Community,4942,"Cap-de-Ville [↑ partly also in Siparia], Trinidad and Tobago",,,,,
227,Clifton Hill,Semi-Urban Community,216,"Clifton Hill, Trinidad and Tobago","Clifton Hill, John John, Port of Spain, 150123, Trinidad and Tobago","(10.6527634, -61.5015025, 0.0)",10.6527634,-61.5015025,0.0
228,Egypt Village,Urban Community,2268,"Egypt Village, Trinidad and Tobago",,,,,
229,Fanny Village,Urban Community,4255,"Fanny Village, Trinidad and Tobago","Fanny Village School  Road, Point Fortin, 700147, Trinidad and Tobago","(10.1645184, -61.6960813, 0.0)",10.1645184,-61.6960813,0.0
230,Gonzales [↑ partly also in Siparia],Urban Community,2034,"Gonzales [↑ partly also in Siparia], Trinidad and Tobago",,,,,
231,Hollywood,Urban Community,1493,"Hollywood, Trinidad and Tobago","Hollywood Boulevard, Ellerslie Park, Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.6603279, -61.5346959, 0.0)",10.6603279,-61.5346959,0.0
232,Newlands,Urban Community,304,"Newlands, Trinidad and Tobago","Newlands Housing Scheme, Guayaguayare, Rio Claro-Mayaro, Trinidad and Tobago","(10.176611, -61.0015432, 0.0)",10.176611,-61.0015432,0.0
233,New Village,Urban Community,1893,"New Village, Trinidad and Tobago","New Village, Point Fortin, 700147, Trinidad and Tobago","(10.1500489, -61.6808473, 0.0)",10.1500489,-61.6808473,0.0
234,Point Fortin Proper,Urban Community,2319,"Point Fortin Proper, Trinidad and Tobago",,,,,
235,Point Ligoure,Urban Community,1385,"Point Ligoure, Trinidad and Tobago","Point Ligoure Community Park, Point Fortin, Trinidad and Tobago","(10.1712116, -61.69195793912005, 0.0)",10.1712116,-61.69195793912005,0.0
236,Techier Village,Urban Community,1632,"Techier Village, Trinidad and Tobago","Techier Community Center, 1st Street, Point Fortin, 700147, Trinidad and Tobago","(10.1697109, -61.67055230626437, 0.0)",10.1697109,-61.67055230626437,0.0
237,Port of Spain,City,37074,"Port of Spain, Trinidad and Tobago","Port of Spain, 150123, Trinidad and Tobago","(10.6572678, -61.5180173, 0.0)",10.6572678,-61.5180173,0.0
238,Belmont,Urban Community,9035,"Belmont, Trinidad and Tobago","Belmont, Port of Spain, 000, Trinidad and Tobago","(10.6685371, -61.507102, 0.0)",10.6685371,-61.507102,0.0
239,Cocorite,Urban Community,1705,"Cocorite, Trinidad and Tobago","Cocorite, Port of Spain, 190130, Trinidad and Tobago","(10.6801341, -61.5452318, 0.0)",10.6801341,-61.5452318,0.0
240,East Port of Spain,Urban Community,9087,"East Port of Spain, Trinidad and Tobago","Port of Spain, 150123, Trinidad and Tobago","(10.6572678, -61.5180173, 0.0)",10.6572678,-61.5180173,0.0
241,Ellerslie Park,Urban Community,277,"Ellerslie Park, Trinidad and Tobago","Ellerslie Park, Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.6777765, -61.5246773, 0.0)",10.6777765,-61.5246773,0.0
242,Federation Park,Urban Community,295,"Federation Park, Trinidad and Tobago","Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.6757042, -61.5262776, 0.0)",10.6757042,-61.5262776,0.0
243,Gonzales,Urban Community,1892,"Gonzales, Trinidad and Tobago","Gonzales Circle, John John, Port of Spain, 000, Trinidad and Tobago","(10.6593559, -61.4987156, 0.0)",10.6593559,-61.4987156,0.0
244,Long Circular,Urban Community,281,"Long Circular, Trinidad and Tobago","Circular Courts, San Fernando, Trinidad and Tobago","(10.2850204, -61.453054173376515, 0.0)",10.2850204,-61.453054173376515,0.0
245,Newtown,Urban Community,524,"Newtown, Trinidad and Tobago","Newtown Trace, Basseterre, Princes Town, Trinidad and Tobago","(10.1289327, -61.2824898, 0.0)",10.1289327,-61.2824898,0.0
246,Port of Spain Port Area,Semi-Urban Community,3,"Port of Spain Port Area, Trinidad and Tobago","Port of Spain, 150123, Trinidad and Tobago","(10.6572678, -61.5180173, 0.0)",10.6572678,-61.5180173,0.0
247,Port of Spain Proper,Urban Community,2758,"Port of Spain Proper, Trinidad and Tobago",,,,,
248,Sealots,Urban Community,1259,"Sealots, Trinidad and Tobago",,,,,
249,St. Clair,Urban Community,205,"St. Clair, Trinidad and Tobago","St. Clair Avenue, Ellerslie Park, Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.6683236, -61.5264819, 0.0)",10.6683236,-61.5264819,0.0
250,St. James,Urban Community,5985,"St. James, Trinidad and Tobago","St James, Fyzabad, Siparia, Trinidad and Tobago","(10.1946419, -61.5396018, 0.0)",10.1946419,-61.5396018,0.0
251,Woodbrook,Urban Community,3382,"Woodbrook, Trinidad and Tobago","One Woodbrook Place, 189, Federation Park, Port of Spain, Trinidad and Tobago","(10.66785835, -61.52817493354965, 0.0)",10.66785835,-61.52817493354965,0.0
252,Princes Town,Region,102375,"Princes Town, Trinidad and Tobago","Princes Town, Trinidad and Tobago","(10.20480035, -61.28061860703701, 0.0)",10.20480035,-61.28061860703701,0.0
253,Basse Terre,Rural Community,3187,"Basse Terre, Trinidad and Tobago",,,,,
254,Ben Lomond,Urban Community,1488,"Ben Lomond, Trinidad and Tobago","Lomond, Saint Ann's, Maraval, 190130, Trinidad and Tobago","(10.6992291, -61.51717, 0.0)",10.6992291,-61.51717,0.0
255,Bon Jean,Rural Community,351,"Bon Jean, Trinidad and Tobago","Bon-Accord, Crown Point, Tobago, Trinidad and Tobago","(11.1549603, -60.82448, 0.0)",11.1549603,-60.82448,0.0
256,Borde Narve [↑ partly also in Penal/Debe],Urban Community,2277,"Borde Narve [↑ partly also in Penal/Debe], Trinidad and Tobago",,,,,
257,Broomage,Urban Community,1259,"Broomage, Trinidad and Tobago","Broomage Road, Princes Town, Trinidad and Tobago","(10.2658144, -61.3621452, 0.0)",10.2658144,-61.3621452,0.0
258,Brothers Settlement,Semi-Urban Community,376,"Brothers Settlement, Trinidad and Tobago","Brother's Settlement Road, WilliamsVille, Princes Town, Trinidad and Tobago","(10.3130219, -61.3573229, 0.0)",10.3130219,-61.3573229,0.0
259,Buen Intento,Urban Community,911,"Buen Intento, Trinidad and Tobago","Buen Intento 2nd Branch Road, Princes Town, Trinidad and Tobago","(10.2774717, -61.3703143, 0.0)",10.2774717,-61.3703143,0.0
260,Canaree,Rural Community,0,"Canaree, Trinidad and Tobago",,,,,
261,Cedar Hill,Urban Community,2071,"Cedar Hill, Trinidad and Tobago","Cedar Hill Village Recreation Ground, Mount Stewart Village, Princes Town, Trinidad and Tobago","(10.267661, -61.40594062721738, 0.0)",10.267661,-61.40594062721738,0.0
262,Cleghorn and Mt. Pleasant,Urban Community,661,"Cleghorn and Mt. Pleasant, Trinidad and Tobago",,,,,
263,Corinth,Urban Community,1911,"Corinth, Trinidad and Tobago","Corinth, Princes Town, 602418, Trinidad and Tobago","(10.266334, -61.439728, 0.0)",10.266334,-61.439728,0.0
264,Coryal Village,Urban Community,1835,"Coryal Village, Trinidad and Tobago","Coryal, Port of Spain, Trinidad and Tobago","(10.5109621, -61.1853888, 0.0)",10.5109621,-61.1853888,0.0
265,Dyers Village,Semi-Urban Community,635,"Dyers Village, Trinidad and Tobago",,,,,
266,Eccles Village [↑ partly also in Couva/Tabaquite/Talparo],Urban Community,1820,"Eccles Village [↑ partly also in Couva/Tabaquite/Talparo], Trinidad and Tobago",,,,,
267,Fifth Company,Urban Community,1454,"Fifth Company, Trinidad and Tobago","Fifth, Sunrise Park, Arouca, Five Rivers, 1 868-681-2822, Trinidad and Tobago","(10.6420275, -61.3478159, 0.0)",10.6420275,-61.3478159,0.0
268,George Village,Semi-Urban Community,3776,"George Village, Trinidad and Tobago","Mount Saint George, Scarborough, Tobago, Trinidad and Tobago","(11.1936976, -60.6787091, 0.0)",11.1936976,-60.6787091,0.0
269,Hard Bargain,Rural Community,369,"Hard Bargain, Trinidad and Tobago",,,,,
270,Harmony Hall,Urban Community,2015,"Harmony Hall, Trinidad and Tobago","Harmony Hall, Princes Town, 602418, Trinidad and Tobago","(10.3121399, -61.4283882, 0.0)",10.3121399,-61.4283882,0.0
271,Hindustan,Rural Community,824,"Hindustan, Trinidad and Tobago","Hindustan Junction Road, New Grant, Princes Town, Trinidad and Tobago","(10.2761412, -61.3063409, 0.0)",10.2761412,-61.3063409,0.0
272,Iere Village,Urban Community,2518,"Iere Village, Trinidad and Tobago","Iere Village, Princes Town, 602418, Trinidad and Tobago","(10.291987, -61.3853571, 0.0)",10.291987,-61.3853571,0.0
273,Indian Walk,Urban Community,5995,"Indian Walk, Trinidad and Tobago","Indian Walk, New Grant, Princes Town, Trinidad and Tobago","(10.2508203, -61.3364498, 0.0)",10.2508203,-61.3364498,0.0
274,Jordan Village,Urban Community,467,"Jordan Village, Trinidad and Tobago",,,,,
275,Kumar Village,Urban Community,842,"Kumar Village, Trinidad and Tobago","Kumar Avenue, Iere Village, Princes Town, Trinidad and Tobago","(10.2924352, -61.3767101, 0.0)",10.2924352,-61.3767101,0.0
276,La Lune,Rural Community,1246,"La Lune, Trinidad and Tobago","La Lune, Moruga, Princes Town, Trinidad and Tobago","(10.0869555, -61.2970837, 0.0)",10.0869555,-61.2970837,0.0
277,La Ruffin,Rural Community,648,"La Ruffin, Trinidad and Tobago",,,,,
278,La Savanne,Rural Community,787,"La Savanne, Trinidad and Tobago","La Savanne Circular Street, Guayaguayare, Rio Claro-Mayaro, Trinidad and Tobago","(10.1663573, -61.0020465, 0.0)",10.1663573,-61.0020465,0.0
279,Lengua Village/Barrackpore,Urban Community,1961,"Lengua Village/Barrackpore, Trinidad and Tobago","Lengua Village, Penal-Debe, Trinidad and Tobago","(10.2285212, -61.3804147, 0.0)",10.2285212,-61.3804147,0.0
280,Lothian,Urban Community,933,"Lothian, Trinidad and Tobago","Lothian Gardens, Princes Town, Trinidad and Tobago","(10.2740695, -61.3724168, 0.0)",10.2740695,-61.3724168,0.0
281,Malgretoute,Urban Community,2910,"Malgretoute, Trinidad and Tobago","Malgretoute Road, Princes Town, 602418, Trinidad and Tobago","(10.2692728, -61.3872781, 0.0)",10.2692728,-61.3872781,0.0
282,Marac,Rural Community,367,"Marac, Trinidad and Tobago",,,,,
283,Matilda,Urban Community,1433,"Matilda, Trinidad and Tobago","Matilda Road, Princes Town, Trinidad and Tobago","(10.2663995, -61.3490159, 0.0)",10.2663995,-61.3490159,0.0
284,Moruga Village,Rural Community,316,"Moruga Village, Trinidad and Tobago","Moruga, Princes Town, Trinidad and Tobago","(10.0886548, -61.2799658, 0.0)",10.0886548,-61.2799658,0.0
285,New Grant,Urban Community,5263,"New Grant, Trinidad and Tobago","New Grant, Princes Town, Trinidad and Tobago","(10.2834646, -61.3211265, 0.0)",10.2834646,-61.3211265,0.0
286,Palmyra,Urban Community,3021,"Palmyra, Trinidad and Tobago","Palmyra Village, Princes Town, 602418, Trinidad and Tobago","(10.2854587, -61.4236161, 0.0)",10.2854587,-61.4236161,0.0
287,Palmyra Village/Mt. Stewa,Urban Community,924,"Palmyra Village/Mt. Stewa, Trinidad and Tobago",,,,,
